id,Student_id,Stream,Course_year,Campus
,50803408,IMSI,2012/2013,CERGY
,50803408,ING3,2012/2013,CERGY
,29013156,IFI,2012/2013,CERGY
,29013156,ING3,2012/2013,CERGY
,42182691,ING3,2012/2013,CERGY
,42182691,ING2,2012/2013,CERGY
,42182691,ING3,2012/2013,CERGY
,10261475,IERP,2012/2013,PAU
,10261475,ING2,2012/2013,PAU
,10261475,ING3,2012/2013,PAU
,10098727,GL,2012/2013,CERGY
,10098727,ING3,2012/2013,CERGY
,2324106,ING3,2012/2013,CERGY
,2324106,ING2,2012/2013,CERGY
,2324106,ING3,2012/2013,CERGY
,78737494,ING2,2012/2013,PAU
,78737494,ING2,2012/2013,PAU
,29876862,IFI,2012/2013,CERGY
,29876862,ING3,2012/2013,CERGY
,17880930,ING3,2012/2013,CERGY
,17880930,ING2,2012/2013,CERGY
,17880930,ING3,2012/2013,CERGY
,33753734,M104F,2012/2013,CERGY
,33753734,IFI,2012/2013,CERGY
,33753734,ING3,2012/2013,CERGY
,91546494,ICC,2012/2013,PAU
,91546494,ING3,2012/2013,PAU
,30332692,IERP,2012/2013,PAU
,30332692,ING2,2012/2013,PAU
,30332692,ING3,2012/2013,PAU
,6983536,ING2,2012/2013,CERGY
,6983536,ING2,2012/2013,CERGY
,99713701,ING3,2012/2013,CERGY
,99713701,ING2,2012/2013,CERGY
,99713701,ING3,2012/2013,CERGY
,53654000,ING2,2012/2013,CERGY
,53654000,ING2,2012/2013,CERGY
,58764334,ING2,2012/2013,PAU
,58764334,ING2,2012/2013,PAU
,81341888,ING3,2012/2013,CERGY
,81341888,ING2,2012/2013,CERGY
,81341888,ING3,2012/2013,CERGY
,56658095,IFI,2012/2013,CERGY
,56658095,ING3,2012/2013,CERGY
,98653560,IFI,2012/2013,CERGY
,98653560,ING3,2012/2013,CERGY
,22722026,ING2,2012/2013,CERGY
,44124692,IFI,2012/2013,CERGY
,44124692,ING3,2012/2013,CERGY
,95554848,IFI,2012/2013,CERGY
,95554848,ING3,2012/2013,CERGY
,14227866,IFI,2012/2013,CERGY
,14227866,ING3,2012/2013,CERGY
,67288320,ING3,2012/2013,CERGY
,67288320,ING2,2012/2013,CERGY
,67288320,ING3,2012/2013,CERGY
,83312741,ING3,2012/2013,CERGY
,83312741,ING3,2012/2013,CERGY
,69580557,ING2,2012/2013,CERGY
,29843850,IFI,2012/2013,CERGY
,29843850,ING3,2012/2013,CERGY
,81504678,ING3,2012/2013,CERGY
,81504678,ING2,2012/2013,CERGY
,81504678,ING3,2012/2013,CERGY
,26038763,ING3,2012/2013,CERGY
,26038763,ING2,2012/2013,CERGY
,26038763,ING3,2012/2013,CERGY
,36870927,ING3,2012/2013,CERGY
,36870927,ING2,2012/2013,CERGY
,36870927,ING3,2012/2013,CERGY
,17041898,ING3,2012/2013,CERGY
,17041898,ING2,2012/2013,CERGY
,17041898,ING3,2012/2013,CERGY
,19863037,ICOM,2012/2013,CERGY
,19863037,ING2,2012/2013,CERGY
,19863037,ING3,2012/2013,CERGY
,794852,ING3,2012/2013,CERGY
,794852,ING2,2012/2013,CERGY
,794852,ING3,2012/2013,CERGY
,81300350,ING3,2012/2013,CERGY
,81300350,ING2,2012/2013,CERGY
,81300350,ING3,2012/2013,CERGY
,30799499,ING3,2012/2013,CERGY
,30799499,ING2,2012/2013,CERGY
,30799499,ING3,2012/2013,CERGY
,58673300,ING3,2012/2013,CERGY
,58673300,ING3,2012/2013,CERGY
,7594044,ING3,2012/2013,CERGY
,7594044,ING2,2012/2013,CERGY
,7594044,ING3,2012/2013,CERGY
,36819987,ING3,2012/2013,CERGY
,36819987,ING3,2012/2013,CERGY
,28745990,IERP,2012/2013,CERGY
,28745990,ING2,2012/2013,CERGY
,28745990,ING3,2012/2013,CERGY
,15511756,ING2,2012/2013,CERGY
,39126324,GL,2012/2013,CERGY
,39126324,ING3,2012/2013,CERGY
,55311679,ING2,2012/2013,CERGY
,85476405,ING2,2012/2013,CERGY
,81391230,ING2,2012/2013,CERGY
,81391230,ING2,2012/2013,CERGY
,24894020,ING2,2012/2013,CERGY
,12095833,ING3,2012/2013,CERGY
,12095833,ING2,2012/2013,CERGY
,27898414,ING2,2012/2013,CERGY
,44470563,ING2,2012/2013,CERGY
,44470563,ING2,2012/2013,CERGY
,88549710,ING2,2012/2013,CERGY
,34752873,ING2,2012/2013,CERGY
,34752873,ING2,2012/2013,CERGY
,93409573,ING2,2012/2013,CERGY
,93409573,ING2,2012/2013,CERGY
,79630166,ING2,2012/2013,CERGY
,79630166,ING2,2012/2013,CERGY
,32669521,ING2,2012/2013,CERGY
,32669521,ING2,2012/2013,CERGY
,9915108,ING2,2012/2013,CERGY
,39801686,ING2,2012/2013,CERGY
,39801686,ING2,2012/2013,CERGY
,5168421,ING2,2012/2013,CERGY
,5168421,ING2,2012/2013,CERGY
,61589853,ING2,2012/2013,CERGY
,61589853,ING2,2012/2013,CERGY
,77425430,ING2,2012/2013,CERGY
,5536975,ING2,2012/2013,CERGY
,5536975,ING2,2012/2013,CERGY
,34295493,ING2,2012/2013,CERGY
,81740761,ING2,2012/2013,CERGY
,81740761,ING2,2012/2013,CERGY
,77793058,ING2,2012/2013,CERGY
,72414199,ING2,2012/2013,CERGY
,36697115,ING2,2012/2013,CERGY
,95707374,ING2,2012/2013,CERGY
,81243588,ING3,2012/2013,CERGY
,81243588,ING2,2012/2013,CERGY
,49737162,ING3,2012/2013,CERGY
,49737162,ING2,2012/2013,CERGY
,61167532,ING2,2012/2013,CERGY
,61167532,ING2,2012/2013,CERGY
,33066324,ING2,2012/2013,CERGY
,2398069,ING2,2012/2013,CERGY
,2398069,ING2,2012/2013,CERGY
,71970376,ING2,2012/2013,CERGY
,71970376,ING2,2012/2013,CERGY
,23126520,ING2,2012/2013,CERGY
,23126520,ING2,2012/2013,CERGY
,79967958,ING2,2012/2013,CERGY
,52288101,ING2,2012/2013,CERGY
,14216442,ING2,2012/2013,CERGY
,14216442,ING2,2012/2013,CERGY
,45738081,ING2,2012/2013,CERGY
,63877325,ING2,2012/2013,CERGY
,63895601,ING2,2012/2013,CERGY
,63895601,ING2,2012/2013,CERGY
,11744507,ING2,2012/2013,CERGY
,11744507,ING2,2012/2013,CERGY
,38792774,ING2,2012/2013,CERGY
,38792774,ING2,2012/2013,CERGY
,81559940,ING2,2012/2013,CERGY
,81559940,ING2,2012/2013,CERGY
,36649486,ING2,2012/2013,CERGY
,36649486,ING2,2012/2013,CERGY
